"county","state","pop.2020","pop.2010","area","Nh","Sh","nh","weights","pop_density","hisp_2020","hisp_2010","totalvotes","DEMOCRAT","REPUBLICAN","THIRD","pop_2020_65","pop_2010_65"
"Echols","Georgia",3697,4014,404,159,146519.674177305,11,14.4545454545455,9.1509900990099,1176,1192,1441,167,1256,18,548,393
"Douglas","Georgia",144237,132575,199,159,146519.674177305,11,14.4545454545455,724.809045226131,15622,11130,69097,42809,25451,837,18142,11388
"Crawford","Georgia",12130,12577,325,159,146519.674177305,11,14.4545454545455,37.3230769230769,448,299,6102,1615,4428,59,2435,1665
"Camden","Georgia",54768,50680,630,159,146519.674177305,11,14.4545454545455,86.9333333333333,3960,2651,23688,7967,15251,470,8085,4629
"Butts","Georgia",25434,23776,187,159,146519.674177305,11,14.4545454545455,136.010695187166,915,622,11771,3274,8406,91,4085,3017
"Hawaii","Hawaii",200629,185361,4028,5,413066.053150341,1,5,49.8085898709037,27474,21543,71044,47305,22126,1613,45787,27143
"Payette","Idaho",25386,22640,408,44,83516.4191328368,2,22,62.2205882352941,4367,3403,11293,2161,8862,270,4750,3495
"Camas","Idaho",1077,1115,1077,44,83516.4191328368,2,22,1,72,71,754,149,507,98,264,185
"Wayne","Illinois",16179,16739,713,102,535679.79217037,25,4.08,22.6914446002805,265,177,8486,1187,7176,123,3561,3250
"Washington","Illinois",13761,14711,562,102,535679.79217037,25,4.08,24.4857651245552,194,204,7902,1641,6115,146,2942,2514
"Shelby","Illinois",20990,22354,657,102,535679.79217037,25,4.08,31.9482496194825,274,180,12097,2504,9426,167,5027,4232
"Richland","Illinois",15813,16193,360,102,535679.79217037,25,4.08,43.925,291,200,8063,1830,6089,144,3304,3086
"Randolph","Illinois",30163,33410,575,102,535679.79217037,25,4.08,52.4573913043478,1089,877,14891,3592,11076,223,6176,5360
"Pulaski","Illinois",5193,6131,199,102,535679.79217037,25,4.08,26.0954773869347,135,102,2624,891,1699,34,1220,1112
"Montgomery","Illinois",28288,30095,703,102,535679.79217037,25,4.08,40.2389758179232,528,464,13727,3905,9544,278,5899,5205
"Mercer","Illinois",15699,16410,561,102,535679.79217037,25,4.08,27.9839572192513,415,303,8893,3280,5418,195,3415,2993
"Madison","Illinois",265859,269315,539,102,535679.79217037,25,4.08,493.244897959184,9305,7383,137139,57836,76031,3272,47802,38523
"Livingston","Illinois",35815,38862,1043,102,535679.79217037,25,4.08,34.3384467881112,1788,1542,17174,4615,12208,351,7028,6115
"Lee","Illinois",34145,35978,724,102,535679.79217037,25,4.08,47.1616022099448,2298,1810,16397,6407,9630,360,6972,5690
"Lake","Illinois",714342,704179,443,102,535679.79217037,25,4.08,1612.51015801354,157296,140542,334177,204032,123594,6551,106676,73639
"Jefferson","Illinois",37113,38757,571,102,535679.79217037,25,4.08,64.9964973730298,1124,801,17404,4608,12476,320,7378,6274
"Henderson","Illinois",6387,7344,378,102,535679.79217037,25,4.08,16.8968253968254,119,80,3647,1187,2394,66,1758,1541
"Fulton","Illinois",33609,37076,865,102,535679.79217037,25,4.08,38.8543352601156,1070,900,16678,6503,9867,308,7234,6711
"Ford","Illinois",13534,14076,485,102,535679.79217037,25,4.08,27.9051546391753,516,297,6953,1754,5048,151,2579,2634
"Edwards","Illinois",6245,6739,222,102,535679.79217037,25,4.08,28.1306306306306,80,62,3366,488,2833,45,1435,1194
"DeWitt","Illinois",15516,16589,397,102,535679.79217037,25,4.08,39.0831234256927,446,360,8024,2191,5632,201,3094,2787
"DeKalb","Illinois",100420,105151,631,102,535679.79217037,25,4.08,159.144215530903,12505,10752,47825,24643,21905,1277,13972,10355
"Cumberland","Illinois",10450,11053,345,102,535679.79217037,25,4.08,30.2898550724638,128,75,5832,1142,4601,89,2206,1852
"Crawford","Illinois",18679,19801,443,102,535679.79217037,25,4.08,42.1647855530474,449,366,9425,2202,7043,180,3689,3331
"Clinton","Illinois",36899,37833,474,102,535679.79217037,25,4.08,77.8459915611814,1225,1078,19170,4493,14304,373,6777,5480
"Carroll","Illinois",15702,15395,445,102,535679.79217037,25,4.08,35.285393258427,565,448,8024,2748,5105,171,3778,3273
"Bond","Illinois",16725,17789,380,102,535679.79217037,25,4.08,44.0131578947368,616,552,8145,2288,5625,232,3271,2683
"Alexander","Illinois",5240,8205,236,102,535679.79217037,25,4.08,22.2033898305085,110,155,2618,1114,1486,18,1382,1385
"Washington","Indiana",28182,28297,514,92,125957.744284192,5,18.4,54.8287937743191,380,316,12139,2784,9114,241,5085,3848
"Warren","Indiana",8440,8521,365,92,125957.744284192,5,18.4,23.1232876712329,199,71,4472,974,3401,97,1733,1432
"Pulaski","Indiana",12514,13320,434,92,125957.744284192,5,18.4,28.8341013824885,437,327,5806,1463,4246,97,2582,2227
"Parke","Indiana",16156,17279,445,92,125957.744284192,5,18.4,36.3056179775281,269,216,7013,1503,5400,110,3389,2712
"Martin","Indiana",9812,10361,336,92,125957.744284192,5,18.4,29.202380952381,134,73,5144,1011,4029,104,2098,1620
"Sioux","Iowa",35872,33755,768,99,59658.5994997614,3,33,46.7083333333333,4008,3036,19051,3019,15775,257,5791,4805
"Pocahontas","Iowa",7078,7290,578,99,59658.5994997614,3,33,12.2456747404844,304,168,3823,933,2832,58,1586,1620
"Dickinson","Iowa",17703,16669,381,99,59658.5994997614,3,33,46.4645669291339,428,189,11244,3661,7452,131,4791,3726
"Saline","Kansas",54303,55781,720,105,81025.7864800668,4,26.25,75.4208333333333,6467,5461,24531,8214,15722,595,10205,8044
"Phillips","Kansas",4981,5632,886,105,81025.7864800668,4,26.25,5.62189616252822,179,125,2781,318,2418,45,1313,1144
"Lane","Kansas",1574,1736,717,105,81025.7864800668,4,26.25,2.1952580195258,150,75,895,115,762,18,362,367
"Geary","Kansas",36739,35241,384,105,81025.7864800668,4,26.25,95.6744791666667,5464,4480,9603,3983,5323,297,2917,2609
"Metcalfe","Kentucky",10286,10135,291,120,79036.2490969163,4,30,35.3470790378007,217,120,5012,975,3959,78,2010,1656
"Fulton","Kentucky",6515,6797,209,120,79036.2490969163,4,30,31.1722488038277,163,53,2421,791,1605,25,1284,1221
"Breathitt","Kentucky",13718,13855,495,120,79036.2490969163,4,30,27.7131313131313,165,92,5661,1301,4265,95,2283,1860
"Boyle","Kentucky",30614,28668,182,120,79036.2490969163,4,30,168.208791208791,1029,794,14467,5298,8872,297,5963,4629
"Rapides Parish","Louisiana",130023,131742,1362,64,100222.715969877,3,21.3333333333333,95.4647577092511,4460,3449,58865,19475,38347,1043,22005,18040
"Jefferson Davis Parish","Louisiana",32250,31629,659,64,100222.715969877,3,21.3333333333333,48.937784522003,815,543,14841,3208,11423,210,5277,4608
"Caldwell Parish","Louisiana",9645,10148,541,64,100222.715969877,3,21.3333333333333,17.8280961182994,342,227,4762,745,3976,41,1874,1515
"Knox","Maine",40607,39727,1142,16,78729.5904650585,1,16,35.5577933450087,627,336,26032,15110,9982,940,10791,7647
"Wicomico","Maryland",103588,98974,468,24,315201.682930795,4,6,221.34188034188,5885,4556,46216,22054,22944,1218,17338,12946
"Queen Anne's","Maryland",49874,47809,498,24,315201.682930795,4,6,100.14859437751,2285,1464,30290,10709,18741,840,10207,7182
"Montgomery","Maryland",1062061,975619,414,24,315201.682930795,4,6,2565.36473429952,210440,167203,533743,419569,101222,12952,173612,119944
"Charles","Maryland",166617,147159,418,24,315201.682930795,4,6,398.605263157895,10857,6354,89498,62171,25579,1748,21861,14006
"Plymouth","Massachusetts",530819,495937,661,14,449922.735618096,3,4.66666666666667,803.054462934947,22603,15711,303870,173630,121227,9013,100676,69317
"Hampden","Massachusetts",465825,464248,618,14,449922.735618096,3,4.66666666666667,753.76213592233,124126,97431,220793,125948,87318,7527,82861,65879
"Berkshire","Massachusetts",129026,131318,931,14,449922.735618096,3,4.66666666666667,138.588614393126,6641,4588,71771,51705,18064,2002,30743,24488
"Wexford","Michigan",33673,32735,576,83,264584.773008379,10,8.3,58.4600694444444,770,528,18265,5838,12102,325,6800,5196
"Oscoda","Michigan",8219,8601,572,83,264584.773008379,10,8.3,14.3688811188811,157,79,4874,1342,3466,66,2390,2028
"Oceana","Michigan",26659,26503,1307,83,264584.773008379,10,8.3,20.3970925784239,4090,3620,14062,4944,8892,226,5855,4521
"Mecosta","Michigan",39714,42851,571,83,264584.773008379,10,8.3,69.5516637478109,1126,736,21049,7375,13267,407,8480,6593
"Leelanau","Michigan",22301,21718,2532,83,264584.773008379,10,8.3,8.80766192733017,929,790,16900,8795,7916,189,7238,5093
"Lapeer","Michigan",88619,88206,663,83,264584.773008379,10,8.3,133.663650075415,4390,3642,52650,16367,35482,801,17022,11868
