"county","state","pop","area","Nh","Sh","id"
"Livingston","New York",61834,640,62,571346.601597947,1867
"Herkimer","New York",60139,1458,62,571346.601597947,1871
"Greene","New York",47931,658,62,571346.601597947,1873
"Columbia","New York",61570,648,62,571346.601597947,1882
"Clinton","New York",79843,1118,62,571346.601597947,1883
"Chenango","New York",47220,898.95,62,571346.601597947,1884
"Chautauqua","New York",127657,1500,62,571346.601597947,1886
"Cattaraugus","New York",77042,1310,62,571346.601597947,1888
"Yancey","North Carolina",18470,313,100,171965.208373188,1893
"Watauga","North Carolina",54086,313,100,171965.208373188,1898
"Swain","North Carolina",14117,541,100,171965.208373188,1906
"Polk","North Carolina",19328,239,100,171965.208373188,1918
"Perquimans","North Carolina",13005,329,100,171965.208373188,1921
"Harnett","North Carolina",133568,601,100,171965.208373188,1950
"Cherokee","North Carolina",28774,497,100,171965.208373188,1973
"Buncombe","North Carolina",269452,660,100,171965.208373188,1982
"Brunswick","North Carolina",136693,860,100,171965.208373188,1983
"McKenzie","North Dakota",14704,2742,53,30596.0438610693,2019
"Warren","Ohio",242337,399.63,88,222571.255344883,2051
"Vinton","Ohio",12800,414.08,88,222571.255344883,2052
"Sandusky","Ohio",58896,409.18,88,222571.255344883,2062
"Paulding","Ohio",18806,416.26,88,222571.255344883,2071
"Morgan","Ohio",13802,417.66,88,222571.255344883,2076
"Medina","Ohio",182470,423,88,222571.255344883,2082
"Lucas","Ohio",431279,340.46,88,222571.255344883,2086
"Greene","Ohio",167966,414.88,88,222571.255344883,2105
"Franklin","Ohio",1323807,539.87,88,222571.255344883,2109
"Ashtabula","Ohio",97574,702.44,88,222571.255344883,2130
"Ottawa","Oklahoma",30285,471,77,119825.658097219,2153
"Marshall","Oklahoma",15312,1852,77,119825.658097219,2166
"Love","Oklahoma",10146,515,77,119825.658097219,2168
"Delaware","Oklahoma",40397,741,77,119825.658097219,2190
"Choctaw","Oklahoma",14204,774,77,119825.658097219,2199
"Wasco","Oregon",26670,2381,36,181521.546245609,2214
"Polk","Oregon",87433,741,36,181521.546245609,2220
"Clatsop","Oregon",41072,827,36,181521.546245609,2243
